year_month,fire_intensity
2012-01,8.7
2012-03,0.4
2012-06,0.4
2012-07,6.8
2012-08,14.3
2012-10,0.6
2013-03,2.5
2013-04,0.8
2013-05,32.8
2013-07,491.2
2013-08,92.7
2013-11,11.1
2013-12,3.2
2014-02,62.6
2014-07,4.6
2014-09,0.7
2014-10,8.6
2014-12,3.7
2015-02,5.0
2015-04,0.9
2015-06,1.0
2015-07,2.2
2015-08,2.3
2016-01,5.9
2016-02,5.8999999999999995
2016-03,7.8
2016-05,9.8
2016-06,0.7
2016-07,8.2
2016-08,4.7
2016-09,0.8
2016-10,3.3
2016-11,5.1
2016-12,2.7
2017-02,4.2
2017-05,3.8
2017-06,3.7
2017-07,5.0
2017-09,1.3
2017-10,20.5
